'sample interval','ABP'
'0.008 sec','mmHg'
151276,59.922
151277,59.765
151278,59.609
151279,59.296
151280,58.983
151281,58.670
151282,58.357
151283,58.044
151284,57.888
151285,57.575
151286,57.262
151287,56.793
151288,56.480
151289,55.854
151290,55.385
151291,54.915
151292,54.446
151293,53.977
151294,53.664
151295,53.194
151296,53.038
151297,52.881
151298,52.725
151299,52.725
151300,52.881
151301,53.038
151302,53.507
151303,54.289
151304,55.854
151305,58.201
151306,60.860
151307,63.520
151308,65.867
151309,67.744
151310,69.309
151311,70.717
151312,72.282
151313,74.159
151314,76.193
151315,78.227
151316,80.261
151317,82.138
151318,83.703
151319,84.798
151320,85.893
151321,86.675
151322,87.301
151323,87.458
151324,87.301
151325,86.988
151326,86.049
151327,84.954
151328,83.546
151329,81.669
151330,79.635
151331,77.445
151332,75.567
151333,74.159
151334,73.064
151335,72.125
151336,71.343
151337,70.404
151338,69.309
151339,68.370
151340,67.275
151341,66.493
151342,65.867
151343,65.398
151344,64.928
151345,64.615
151346,64.146
151347,63.677
151348,63.207
151349,62.738
151350,62.269
151351,61.956
151352,61.799
151353,61.486
151354,61.330
151355,61.017
151356,60.704
151357,60.391
151358,60.235
151359,59.922
151360,59.922
151361,59.609
151362,59.609
151363,59.296
151364,59.139
151365,58.983
151366,58.670
151367,58.514
151368,58.201
151369,57.888
151370,57.418
151371,57.106
151372,56.636
151373,56.167
151374,55.854
151375,55.385
151376,54.915
151377,54.602
151378,54.289
151379,53.977
151380,53.664
151381,53.351
151382,53.038
151383,52.725
151384,52.568
151385,52.725
151386,53.507
151387,54.915
151388,57.262
151389,60.235
151390,63.677
151391,66.806
151392,69.465
151393,71.343
151394,72.751
151395,74.159
151396,75.724
151397,77.757
151398,80.417
151399,83.390
151400,86.519
151401,89.491
151402,92.308
151403,94.654
151404,96.532
151405,98.096
151406,99.192
151407,99.817
151408,99.817
151409,99.505
151410,98.879
151411,97.940
151412,96.688
151413,94.967
151414,93.090
151415,90.743
151416,88.240
151417,85.580
151418,83.233
151419,81.356
151420,79.948
151421,78.696
151422,77.757
151423,76.662
151424,75.567
151425,74.472
151426,73.377
151427,72.438
151428,71.656
151429,71.030
151430,70.404
151431,69.935
151432,69.309
151433,68.683
151434,68.057
151435,67.588
151436,67.119
151437,66.649
151438,66.336
151439,65.867
151440,65.554
151441,65.085
151442,64.615
151443,64.302
151444,63.990
151445,63.833
151446,63.677
151447,63.364
151448,63.207
151449,62.894
151450,62.581
151451,62.112
151452,61.799
151453,61.330
151454,60.860
151455,60.391
151456,59.922
151457,59.296
151458,58.827
151459,58.357
151460,57.888
151461,57.575
151462,57.262
151463,56.949
151464,56.636
151465,56.323
151466,56.010
151467,55.697
151468,55.541
151469,55.541
151470,55.854
151471,56.793
151472,58.357
151473,60.704
151474,63.364
151475,66.180
151476,68.683
151477,70.404
151478,71.656
151479,72.751
151480,73.846
151481,75.254
151482,76.975
151483,79.009
151484,81.199
151485,83.390
151486,85.267
151487,86.988
151488,88.396
151489,89.491
151490,90.117
151491,90.430
151492,90.587
151493,90.274
151494,89.491
151495,88.553
151496,87.145
151497,85.424
151498,83.546
151499,81.356
151500,79.322
151501,77.445
151502,76.036
151503,74.941
151504,74.315
151505,73.533
151506,72.751
151507,71.812
151508,70.873
151509,69.935
151510,68.996
151511,68.057
151512,67.432
151513,66.806
151514,66.180
151515,65.711
151516,65.241
151517,64.615
151518,64.146
151519,63.677
151520,63.364
151521,63.051
151522,62.738
151523,62.425
151524,61.956
151525,61.799
151526,61.486
151527,61.173
151528,61.017
151529,60.704
151530,60.548
151531,60.235
151532,60.078
151533,59.922
151534,59.609
151535,59.139
151536,58.670
151537,58.201
151538,57.575
151539,57.106
151540,56.480
151541,55.854
151542,55.385
151543,54.915
151544,54.602
151545,54.289
151546,53.820
151547,53.351
151548,53.038
151549,52.725
151550,52.256
151551,51.943
151552,51.943
151553,52.099
151554,52.725
151555,54.289
151556,56.793
151557,59.922
151558,63.364
151559,66.493
151560,68.840
151561,70.717
151562,72.125
151563,73.533
151564,75.254
151565,77.601
151566,80.261
151567,83.233
151568,86.049
151569,88.866
151570,91.212
151571,93.246
151572,94.967
151573,96.375
151574,97.158
151575,97.627
151576,97.784
151577,97.314
151578,96.532
151579,95.437
151580,93.716
151581,91.682
